#,Company Name,Country,Job Title,URL,Technical Skills,Soft Skills,Tools,Experience
1,Finz Games,Pakistan,Marketing Analyst Intern,https://bebee.com/pk/jobs/marketing-analyst-intern-finz-games-kahna-nau--bs-pk-7d303a5c-0213-4937-9dd6-d5653492604d,Digital Marketing | Keyword Research | Data Analysis,Communication | Teamwork | Analytical Thinking,Excel | Google Sheets | Google Ads | Meta Ads,Internship
2,Contour Software,Pakistan,Digital Marketing Analyst,https://www.linkedin.com/jobs/view/4415399207/,PPC | Campaign Optimization | Data Analysis,Project Management | Communication | Attention to Detail,Excel | Google Ads,1-2 Years
3,TalentHue,Pakistan,Marketing Data Analyst,https://share.google/NBT11591GSDemnkRt,Data Analytics | Marketing Analytics | Customer Analytics,Attention to Detail | Strategic Thinking | Communication,Excel | Adobe Analytics | Google Analytics | Tableau | Looker | Domo | SQL | Python | R,3-5 Years
4,Crossing Hurdles,Pakistan,Marketing Research Analyst,https://www.linkedin.com/jobs/view/4417835826,Market Research | Competitive Analysis | Web Analytics,Communication | Collaboration | Presentation,Analytics Tools,1-2 Years
5,Royal Fans,Pakistan,Market Analyst Manager,https://www.rozee.pk/job/detail/1851376,Market Research | Competitive Analysis | Survey Analysis,Leadership | Strategic Thinking | Project Management,Excel | Power BI,5+ Years
6,Sysridge Technologies,Pakistan,Marketing Analyst,https://www.rozee.pk/job/detail/1851178,Campaign Analysis | Digital Marketing | Data Analysis,Collaboration | Proactive | Attention to Detail,Marketing Automation | Social Media Analytics | Video Editing,1-2 Years
7,Software Finder Careers,Pakistan,Market Research Analyst,https://share.google/FtX7yFFu9pgEFFVSx,Market Research | Market Segmentation | Trend Analysis,Problem Solving | Collaboration | Attention to Detail,Excel,2-4 Years
8,CureMD Healthcare,Pakistan,Associate Marketing Analyst,https://share.google/z76MWMYN8XmWp57bt,Market Research | Content Strategy | KPI Analysis,Communication | Collaboration | Attention to Detail,Google Analytics | AI Tools,0-1 Years
9,EWS Group,Pakistan,PPC & Digital Marketing Analyst,https://share.google/wPaIOSuH6GYsdbF8X,PPC | Campaign Optimization | Performance Analytics,Problem Solving | Analytical Thinking | Client Focus,Excel | Google Ads | Meta Ads,1-2 Years
10,Silverlight Research Group,Pakistan,Market Research Analyst,https://share.google/jnHeen7QActAv5Lyu,Talent Sourcing | Screening | Research,Proactive | Attention to Detail | Collaboration,LinkedIn,Internship
11,AlgoDriven,UAE,Market Analyst,https://www.linkedin.com/jobs/view/4417308318/,Market Research | Data Management | Forecasting,Communication | Attention to Detail | Analytical Thinking,Excel | Google Sheets | BI Tools,1-2 Years
12,Insight Global,USA,Associate Marketing Analyst,https://www.linkedin.com/jobs/view/4418829789/,SQL | Predictive Modeling | Data Visualization,Communication | Presentation | Stakeholder Management,SQL | Tableau | Google Sheets | Python | Marketo,1-3 Years
13,Kraft Heinz,USA,Marketing Analyst,https://www.linkedin.com/jobs/view/4416331282/,Market Analytics | Sales Analytics | Competitive Analysis,Attention to Detail | Communication | Organization,Nielsen | IRI | Circana | Excel | PowerPoint,1-2 Years
14,Google,USA,Marketing Analyst,https://www.linkedin.com/jobs/view/4413516860/,Statistics | Marketing Analytics | Predictive Modeling,Communication | Influencing | Project Management,SQL | Python | R | Hadoop | Dashboard Tools,3-5 Years
15,LHH,Netherlands,Marketing Reporting Analyst,https://www.linkedin.com/jobs/view/4415001003/,Business Intelligence | Digital Analytics | Data Visualization,Attention to Detail | Time Management | Collaboration,Google Analytics | Power BI | Tableau | Domo,2-4 Years
16,Wawa Inc.,USA,Loyalty Marketing Analyst,https://www.linkedin.com/jobs/view/4409620284/,Statistics | Customer Analytics | Data Integration,Communication | Independence | Conflict Resolution,Excel | Word | PowerPoint | SQL | Tableau,5+ Years
17,Ahold Delhaize USA,USA,Marketing Analyst,https://www.linkedin.com/jobs/view/4403039199/,Statistics | Experimental Design | Marketing Analytics,Collaboration | Time Management | Curiosity,Google Analytics | Adobe Analytics | BigQuery | Looker Studio | Power BI | Tableau,2-4 Years
18,Speak,USA,Marketing Analyst,https://www.linkedin.com/jobs/view/4334722552/,Predictive Modeling | Experimental Design | Statistics,Leadership Communication | Collaboration | Insight Generation,SQL | Python | Amplitude | Mode,3-5 Years
19,iHerb,USA,Marketing Analyst CRM Retention,https://www.linkedin.com/jobs/view/4358319461/,Customer Analytics | Predictive Modeling | CRM Analytics,Communication | Attention to Detail | Proactive,SQL | Excel | Google Sheets | Tableau | Power BI | Looker | Google Analytics | Python | R,3-5 Years
20,DEMAND.com,USA,Marketing Analyst,https://www.linkedin.com/jobs/view/4405646591/,Data Analysis | Forecasting | Market Research,Attention to Detail | Time Management | Adaptability,Excel | Google Sheets,1-2 Years
